feature,score,min,max,n_null,n_gt1w,type
x69,394,-2.0,67.67,130,0,numeric
x434,393,-2.0,152.31,52,0,numeric
x369,390,-2,7673,19,0,numeric
x828,390,-2,122,19,0,numeric
x529,388,-2,33029,19,13,numeric
x373,388,-2,1212,19,0,numeric
x174,387,-2.0,19.45,19,0,numeric
x958,386,-2.0,279.69,6105,0,numeric
x1138,385,0,34,0,0,category
x770,384,-2,187,19,0,numeric
x33,384,-2.0,101.0,130,0,numeric
x295,383,-2,1321,19,0,numeric
x979,381,-2,1217,19,0,numeric
x78,381,-2.0,15.2,19,0,numeric
x349,380,-1.0,93.17,0,0,numeric
x342,380,-2,5614,19,0,numeric
x857,380,-2,168,19,0,numeric
x386,377,-2,145,19,0,numeric
x446,373,-2,17,13651,0,numeric
x347,372,-1.0,1597489.0,0,13231,numeric
x374,372,-2,1161,19,0,numeric
x643,371,-2,3524,19,0,numeric
x959,369,-2.0,248.14,4421,0,numeric
x655,369,-2,137,19,0,numeric
x749,360,-2,15951,19,1,numeric
x253,360,-2,15476,19,1,numeric
x306,360,-2.0,621.0,19,0,numeric
x750,359,-2,11386,19,1,numeric
x839,356,-2,51,19,0,numeric
x45,354,-2.0,34.5,19,0,numeric
x1020,353,-2,240,19,0,numeric
x862,353,-2,147,19,0,numeric
x802,352,-2,4705,19,0,numeric
x1055,351,-2,867,4951,0,numeric
x533,350,-2,691,19,0,numeric
x430,349,-2.0,457.0,52,0,numeric
x1029,349,-2,88,19,0,numeric
x522,348,-2,38436,19,7,numeric
x678,348,-2,13857,19,1,numeric
x564,347,-2,63,83,0,numeric
x348,346,-1.0,101.0,0,0,numeric
x700,344,-2,104,19,0,numeric
x964,344,-2,20,4421,0,numeric
x513,343,-2,146503,19,7,numeric
x509,343,-2,633,19,0,numeric
x990,343,-2,293,19,0,numeric
x461,341,-1,51,0,0,numeric
x294,340,-2,1326,19,0,numeric
x837,337,-2,146503,19,4,numeric
x532,336,-2,6189,19,0,numeric
x832,335,-2,1780,19,0,numeric
x555,335,-2,1362,19,0,numeric
x890,334,-2,80,4951,0,numeric
x497,330,-2,434,83,0,numeric
x525,329,-2,29964,19,7,numeric
x485,328,-2,5556,20,0,numeric
x355,327,-0.97,18677.0,0,7,numeric
x676,327,-2,11072,19,1,numeric
x396,327,-2,296,19,0,numeric
x733,327,-2,197,19,0,numeric
x992,324,-2,617,19,0,numeric
x851,324,-2,118,19,0,numeric
x429,323,-2,1482,52,0,numeric
x993,323,-2,358,19,0,numeric
x985,323,-2,176,19,0,numeric
x765,323,-2,169,19,0,numeric
x1057,322,-2,1127,4951,0,numeric
x1060,322,-2,356,4951,0,numeric
x978,321,-2,1222,19,0,numeric
x1090,320,-2,2304,4951,0,numeric
x1110,319,0,34,0,0,category
x170,319,-2.0,20.9,19,0,numeric
x954,318,-2,19,4421,0,numeric
x647,317,-2,396,10188,0,numeric
x987,313,-2,157,19,0,numeric
x1114,312,0,37,0,0,category
x388,312,-2,266,19,0,numeric
x329,310,-25.9121,52.79815,4281,0,numeric
x390,309,-2,35,19,0,numeric
x341,308,-2,3521,19,0,numeric
x545,305,-2,1322,19,0,numeric
x631,305,-2,359,19,0,numeric
x255,303,-2,1751,19,0,numeric
x602,303,-2,1051,19,0,numeric
x679,303,-2,82,19,0,numeric
x266,299,-2,877,19,0,numeric
x325,298,-2,64,19,0,numeric
x510,297,-2,104,19,0,numeric
x534,296,-2,163,19,0,numeric
x1011,296,-2,90,19,0,numeric
x796,293,-2,25079,19,4,numeric
x847,293,-2,629,19,0,numeric
x593,293,-2,25,44,0,numeric
x982,290,-2,173,19,0,numeric
x198,290,-2.0,24.6,19,0,numeric
x372,289,-2,256,19,0,numeric
x380,288,-2,17,19,0,numeric
x506,287,-2,1076,19,0,numeric
x267,287,-2,126,19,0,numeric
x1008,287,-2,74,19,0,numeric
x976,284,-2,2579,19,0,numeric
x736,283,-2,122,19,0,numeric
x377,283,-2,44,19,0,numeric
x761,282,-2,13895,19,1,numeric
x339,282,-2,2211,19,0,numeric
x1064,281,-2,363,4951,0,numeric
x914,281,-2.0,199.76,4951,0,numeric
x984,281,-2,41,19,0,numeric
x623,279,-2,14592,19,1,numeric
x1108,278,0,37,0,0,category
x283,278,-2,352,19,0,numeric
x1135,275,0,37,0,0,category
x762,275,-2,647,19,0,numeric
x1104,272,-2,323,4951,0,numeric
x371,271,-2,251,19,0,numeric
x1012,271,-2,52,19,0,numeric
x1009,266,-2,55,19,0,numeric
x624,265,-2,18541,19,1,numeric
x745,265,-2,63,19,0,numeric
x777,263,-2,151,19,0,numeric
x703,262,-2,2693,19,0,numeric
x531,261,-2,8073,19,0,numeric
x1105,261,-2,447,4951,0,numeric
x866,261,-2,125,19,0,numeric
x595,260,-2,30,19,0,numeric
x650,254,-2,417,10943,0,numeric
x844,253,-2,9520,19,0,numeric
x344,253,-2.0,1326.94,34,0,numeric
x875,252,-2,654,19,0,numeric
x684,251,-2,123,19,0,numeric
x800,249,-2,707,19,0,numeric
x256,248,-2,376,19,0,numeric
x274,246,-2,357,12095,0,numeric
x466,245,-1,38,0,0,numeric
x1102,245,-2,2450,4951,0,numeric
x747,243,-2,620,19,0,numeric
x827,242,-2,155,19,0,numeric
x335,242,-2,6,19,0,numeric
x360,241,-1.0,11279.0,0,1,numeric
x340,241,-2,5914,19,0,numeric
x983,240,-2,116,19,0,numeric
x838,239,-2,914,19,0,numeric
x948,237,-2.0,844.0,286,0,numeric
x307,236,-2,1692,19,0,numeric
x410,235,-2.0,2307.0,19,0,numeric
x1074,234,-2,12360,4951,1,numeric
x523,234,-2,5785,19,0,numeric
x1112,232,0,34,0,0,category
x1015,232,-2,826,19,0,numeric
x966,231,-2.0,22414533.0,12142,1844,numeric
x682,230,-2,113,19,0,numeric
x343,229,-2.0,1000.46,170,0,numeric
x1059,229,-2,931,4951,0,numeric
x790,229,-2,126,19,0,numeric
x265,227,-2,21838,19,2,numeric
x630,227,-2,2118,19,0,numeric
x626,227,-2,1860,19,0,numeric
x1049,227,-2,34,19,0,numeric
x245,225,-2,303,19,0,numeric
x480,223,-2,563,21,0,numeric
x338,222,-2,3539,19,0,numeric
x1017,220,-2,32,19,0,numeric
x1116,218,0,37,0,0,category
x1087,217,-2,9996,4951,0,numeric
x1078,217,-2.0,221.85,4951,0,numeric
x807,217,-2,15,19,0,numeric
x589,216,-2,3287,19,0,numeric
x459,212,-1,926,0,0,numeric
x436,211,-2,2864,52,0,numeric
x918,211,-2,467,4951,0,numeric
x869,210,-2,40,19,0,numeric
x421,208,-2,246,19,0,numeric
x1072,207,-2,9410,4951,0,numeric
x988,207,-2,546,19,0,numeric
x1115,206,0,37,0,0,category
x1083,206,-2,2706,4951,0,numeric
x889,206,-2,21,4951,0,numeric
x484,205,-2,2991,20,0,numeric
x535,203,-2,120,19,0,numeric
x628,202,-2,305,19,0,numeric
x848,200,-2,113,19,0,numeric
x1103,199,-2,560,4951,0,numeric
x672,199,-2,104,19,0,numeric
x1048,198,-2,176,19,0,numeric
x1113,197,0,34,0,0,category
x285,197,-2,498,19,0,numeric
x521,194,-2,465,19,0,numeric
x493,194,-2,347,83,0,numeric
x933,194,-2,72,4951,0,numeric
x803,192,-2,250,19,0,numeric
x709,191,-2,78,19,0,numeric
x411,190,0,8,0,0,category
x370,190,-2,10537,19,1,numeric
x1025,190,-2,82,19,0,numeric
x783,189,-2,5496,19,0,numeric
x258,188,-2,234,19,0,numeric
x756,187,-2,6509,19,0,numeric
x251,184,-2,20583,19,5,numeric
x391,183,-2.0,4131.0,19,0,numeric
x693,182,-2,1537,19,0,numeric
x402,182,-2,96,19,0,numeric
x594,181,-2,4374,19,0,numeric
x467,180,-1,12,0,0,numeric
x657,180,-2,369,19,0,numeric
x580,180,-2,203,19,0,numeric
x569,180,-2,37,19,0,numeric
x242,179,-2,13643,19,1,numeric
x968,178,-2,22414533,12142,1209,numeric
x980,178,-2,115,19,0,numeric
x955,178,-2,66,4421,0,numeric
x456,174,-2,35,13778,0,numeric
x576,173,-2,274,19,0,numeric
x1131,172,0,36,0,0,category
x1016,172,-2,37,19,0,numeric
x273,171,-2,341,19,0,numeric
x793,171,-2,113,19,0,numeric
x880,171,-2,58,19,0,numeric
x605,170,-2,432,19,0,numeric
x378,170,-2,65,19,0,numeric
x260,169,-2,171,19,0,numeric
x806,169,-2,107,19,0,numeric
x780,169,-2,11,44,0,numeric
x351,167,-0.96,19559.0,0,10,numeric
x375,166,-2,45,19,0,numeric
x263,165,-2,1070,19,0,numeric
x819,165,-2,388,13061,0,numeric
x330,165,-2.0,134.398,4280,0,numeric
x967,164,-2,22414533,12142,1881,numeric
x720,163,-2,7310,19,0,numeric
x269,163,-2,324,19,0,numeric
x1021,163,-2,102,19,0,numeric
x444,161,-2,2,13651,0,category
x621,158,-2,1322,19,0,numeric
x376,158,-2,53,19,0,numeric
x1035,154,-2,2,3642,0,category
x1068,152,-2,1520,4951,0,numeric
x732,152,-2,148,19,0,numeric
x465,151,-1,389,0,0,numeric
x794,151,-2,113,19,0,numeric
x795,150,-2,915,19,0,numeric
x705,150,-2,290,19,0,numeric
x717,148,-2,370,19,0,numeric
x715,147,-2,8955,19,0,numeric
x915,147,-2,248,4951,0,numeric
x998,147,-2,66,19,0,numeric
x332,147,-2,39,19,0,numeric
x577,145,-2,59,19,0,numeric
x935,144,-2,83,4951,0,numeric
x920,143,-2,371,4951,0,numeric
x608,143,-2,71,19,0,numeric
x596,143,-2,21,19,0,numeric
x303,143,-2,2,186,0,category
x646,142,-2,238,13169,0,numeric
x243,142,-2,155,19,0,numeric
x547,141,-2,388,13030,0,numeric
x1130,139,0,9,0,0,category
x1053,136,-2,104,4951,0,numeric
x632,136,-2,83,19,0,numeric
x1080,135,-2,227,4951,0,numeric
x874,135,-2,154,19,0,numeric
x991,132,-2,84,19,0,numeric
x1118,130,0,35,0,0,category
x972,130,-2.0,22785058.0,13588,1335,numeric
x659,130,-2,91,19,0,numeric
x870,130,-2,26,19,0,numeric
x649,129,-2,374,13242,0,numeric
x989,129,-2,27,19,0,numeric
x932,129,-2,16,4951,0,numeric
x1111,128,0,28,0,0,category
x1084,128,-2,1066,4951,0,numeric
x751,128,-2,63,19,0,numeric
x892,128,-2,5,4951,0,numeric
x345,127,-2.0,1749.13,19,0,numeric
x779,125,-2,6,44,0,numeric
x974,124,-2,22785058,13588,862,numeric
x845,124,-2,5076,19,0,numeric
x1041,124,-2,2,3647,0,category
x502,123,-2,1386,19,0,numeric
x381,122,-2,14638,19,9,numeric
x801,122,-2,91,19,0,numeric
x1062,121,-2,281,4951,0,numeric
x863,121,-2,117,19,0,numeric
x464,120,-1,199,0,0,numeric
x1007,120,-2,25,19,0,numeric
x586,119,-2,215,19,0,numeric
x821,119,-2,122,19,0,numeric
x680,119,-2,90,19,0,numeric
x415,118,0,5,0,0,category
x454,118,-2,2,13778,0,category
x326,116,-2,24,19,0,numeric
x905,115,-2,389,4951,0,numeric
x973,114,-2,22785058,13588,1344,numeric
x1006,114,-2,29,19,0,numeric
x322,113,-2,64,19,0,numeric
x414,113,-2,15,19,0,numeric
x675,112,-2,88,19,0,numeric
x667,112,-2,22,19,0,numeric
x962,111,-2,20,4421,0,numeric
x1028,110,-2,29,19,0,numeric
x910,109,-2,13,4951,0,numeric
x1125,108,0,9,0,0,category
x1101,108,-2,319,4951,0,numeric
x789,108,-2,252,19,0,numeric
x441,108,-2,16,13998,0,numeric
x539,107,-2,9765,19,0,numeric
x597,105,-2,2325,19,0,numeric
x1066,105,-2,309,4951,0,numeric
x1067,105,-2,290,4951,0,numeric
x622,105,-2,146,19,0,numeric
x975,105,-2,50,19,0,numeric
x1046,105,-2,2,24,0,category
x1133,104,0,9,0,0,category
x971,104,-2,70,19,0,numeric
x625,104,-2,67,19,0,numeric
x928,103,-2,25,4951,0,numeric
x1128,102,0,9,0,0,category
x673,102,-2,74,19,0,numeric
x841,102,-2,45,19,0,numeric
x1123,101,0,9,0,0,category
x423,101,-2,7,19,0,numeric
x327,99,-2,3158,92,0,numeric
x635,98,-2,1747,19,0,numeric
x571,98,-2,88,19,0,numeric
x969,98,-2,50,19,0,numeric
x1127,97,0,9,0,0,category
x888,97,-2,16,4951,0,numeric
x669,96,-2,3287,19,0,numeric
x244,96,-2,195,19,0,numeric
x759,96,-2,70,19,0,numeric
x572,95,-2,81,19,0,numeric
x708,95,-2,66,19,0,numeric
x1002,95,-2,13,19,0,numeric
x561,93,-2,97,19,0,numeric
x1000,92,-2,52,19,0,numeric
x1092,90,-2,125,4951,0,numeric
x694,90,-2,55,19,0,numeric
x884,90,-2,2,4951,0,category
x570,89,-2,2600,19,0,numeric
x739,89,-2,1386,19,0,numeric
x887,88,-2,55,4951,0,numeric
x1070,87,-2,197,4951,0,numeric
x1107,86,0,35,0,0,category
x612,86,-2,107,19,0,numeric
x902,86,-2,80,4951,0,numeric
x937,85,-2,68,4951,0,numeric
x425,84,-2,246,19,0,numeric
x714,84,-2,77,19,0,numeric
x452,84,-2,1,13778,0,category
x519,83,-2,151,19,0,numeric
x1063,83,-2,33,4951,0,numeric
x627,82,-2,302,19,0,numeric
x1075,82,-2,197,4951,0,numeric
x1030,82,-2,17,19,0,numeric
x1126,80,0,9,0,0,category
x742,80,-2,2658,19,0,numeric
x1106,80,-2,267,4951,0,numeric
x753,80,-2,69,19,0,numeric
x420,80,-2,25,19,0,numeric
x718,79,-2,75,19,0,numeric
x811,79,-2,5,83,0,numeric
x416,77,0,5,0,0,category
x278,77,-2,3546,19,0,numeric
x908,77,-2,56,4951,0,numeric
x598,76,-2,3028,19,0,numeric
x712,76,-2,107,19,0,numeric
x301,75,-2,2,14517,0,category
x1119,74,0,9,0,0,category
x1121,74,0,9,0,0,category
x639,73,-2,13,19,0,numeric
x1069,72,-2,173,4951,0,numeric
x939,72,-2,7,4951,0,numeric
x701,71,-2,19,19,0,numeric
x419,70,-2,23,19,0,numeric
x457,69,-1,257,0,0,numeric
x671,69,-2,4436,19,0,numeric
x1042,69,-2,2,443,0,category
x537,68,-2,593,19,0,numeric
x816,66,-2,73,19,0,numeric
x302,66,-3,2,25,0,category
x924,65,-2,52,4951,0,numeric
x1056,64,-2,102,4951,0,numeric
x1040,63,-2,2,2850,0,category
x1136,62,0,9,0,0,category
x1073,61,-2,931,4951,0,numeric
x544,61,-2,12,19,0,numeric
x970,60,-2,23,19,0,numeric
x1071,59,-2,839,4951,0,numeric
x618,59,-2,73,19,0,numeric
x328,58,-2,22,92,0,numeric
x1124,57,0,9,0,0,category
x290,57,-2,4356,19,0,numeric
x1094,57,-2,100,4951,0,numeric
x1085,56,-2,263,4951,0,numeric
x691,56,-2,34,19,0,numeric
x249,55,-2,4907,19,0,numeric
x840,55,-2,65,19,0,numeric
x706,54,-2,68,19,0,numeric
x1033,54,-2,1,13355,0,category
x758,53,-2,155,19,0,numeric
x1054,53,-2,101,4951,0,numeric
x1014,53,-2,14,19,0,numeric
x668,53,-2,11,19,0,numeric
x311,53,-2,2,3663,0,category
x925,52,-2,13,4951,0,numeric
x324,52,-2,6,19,0,numeric
x1047,52,-2,2,576,0,category
x754,51,-2,37,19,0,numeric
x871,51,-2,16,19,0,numeric
x1027,51,-2,15,19,0,numeric
x904,51,-2,9,4951,0,numeric
x264,50,-2,262,19,0,numeric
x280,50,-2,156,19,0,numeric
x1065,50,-2,28,4951,0,numeric
x567,50,-2,14,19,0,numeric
x670,49,-2,15,19,0,numeric
x309,49,-2,2,2870,0,category
x1097,48,-2,140,4951,0,numeric
x938,48,-2,7,4951,0,numeric
x810,47,-2,773,19,0,numeric
x1076,47,-2,252,4951,0,numeric
x1091,47,-2,114,4951,0,numeric
x1013,47,-2,16,19,0,numeric
x1034,47,-2,1,13342,0,category
x281,46,-2,168,19,0,numeric
x599,46,-2,26,19,0,numeric
x279,45,-2,3960,19,0,numeric
x1122,44,0,9,0,0,category
x724,44,-2,46,19,0,numeric
x439,44,-2,2,13998,0,category
x1088,43,-2,209,4951,0,numeric
x1089,42,-2,398,4951,0,numeric
x1058,42,-2,99,4951,0,numeric
x719,42,-2,80,19,0,numeric
x600,42,-2,23,19,0,numeric
x331,41,-2,7,19,0,numeric
x1061,40,-2,29,4951,0,numeric
x540,40,-2,4,83,0,numeric
x1082,39,-2,606,4951,0,numeric
x921,39,-2,55,4951,0,numeric
x1032,39,-2,2,34,0,category
x1031,39,-2,1,13298,0,category
x919,38,-2,23,4951,0,numeric
x872,38,-2,21,19,0,numeric
x1037,38,-2,2,24,0,category
x917,37,-2,16,4951,0,numeric
x449,37,-2,2,14051,0,category
x784,36,-2,27,19,0,numeric
x930,36,-2,21,4951,0,numeric
x1099,35,-2,264,4951,0,numeric
x300,35,-2,2,8534,0,category
x755,34,-2,65,19,0,numeric
x896,34,-2,5,4951,0,numeric
x501,33,-2,2149,83,0,numeric
x926,33,-2,24,4951,0,numeric
x1081,31,-2,90,4951,0,numeric
x261,31,-2,40,19,0,numeric
x1038,31,-2,2,4171,0,category
x882,30,-2,26,4951,0,numeric
x442,30,-2,1,13651,0,numeric
x308,29,-2,2,4191,0,category
x314,28,-2,2,63,0,category
x291,27,-2,29,19,0,numeric
x1036,27,-2,2,585,0,category
x313,27,-2,2,95,0,category
x319,27,-2,2,53,0,category
x881,26,-2,21,4951,0,numeric
x310,26,-2,2,3657,0,category
x250,25,-2,3037,19,0,numeric
x498,25,-2,2149,83,0,numeric
x317,25,-2,2,85,0,category
x453,25,-2,1,13778,0,category
x1086,24,-2,87,4951,0,numeric
x799,24,-2,12,19,0,numeric
x1039,23,-2,1,13297,0,category
x1096,22,-2,262,4951,0,numeric
x1045,22,-2,2,34,0,category
x437,22,-2,1,13998,0,numeric
x934,21,-2,7,4951,0,numeric
x315,21,-2,2,94,0,category
x702,20,-2,18,19,0,numeric
x443,20,-2,2,13651,0,numeric
x508,19,-2,257,19,0,numeric
x445,19,-2,2,13651,0,numeric
x492,18,-2,299,19,0,numeric
x834,18,-2,16,19,0,numeric
x927,18,-2,4,4951,0,numeric
x740,16,-2,62,19,0,numeric
x907,16,-2,53,4951,0,numeric
x275,16,-2,51,19,0,numeric
x808,16,-2,7,19,0,numeric
x885,16,-2,2,4951,0,category
x1100,15,-2,207,4951,0,numeric
x1098,15,-2,69,4951,0,numeric
x451,15,-2,16,14051,0,numeric
x931,15,-2,3,4951,0,numeric
x1043,15,-2,2,453,0,category
x316,15,-2,2,53,0,category
x891,14,-2,9,4951,0,numeric
x320,14,-2,2,84,0,category
x276,13,-2,5476,19,0,numeric
x664,13,-2,3152,19,0,numeric
x1095,13,-2,47,4951,0,numeric
x1093,13,-2,23,4951,0,numeric
x723,13,-2,9,19,0,numeric
x536,13,-2,7,19,0,numeric
x901,13,-2,5,4951,0,numeric
x1079,12,-2,54,4951,0,numeric
x965,12,-2,24,19,0,numeric
x916,12,-2,13,4951,0,numeric
x893,12,-2,7,4951,0,numeric
x312,12,-2,2,63,0,category
x247,11,-2,43,19,0,numeric
x426,11,-2,2,19,0,category
x438,11,-2,1,13998,0,category
x455,11,-2,1,13778,0,category
x903,10,-2,12,4951,0,numeric
x1044,10,-2,2,13298,0,category
x447,10,-2,1,14051,0,category
x688,8,-2,257,19,0,numeric
x854,8,-2,231,19,0,numeric
x262,8,-2,33,19,0,numeric
x662,8,-2,32,19,0,numeric
x936,8,-2,6,4951,0,numeric
x898,8,-2,6,4951,0,numeric
x833,7,-2,1247,19,0,numeric
x644,7,-2,396,19,0,numeric
x1050,7,-2,2,13298,0,category
x906,6,-2,11,4951,0,numeric
x923,6,-2,5,4951,0,numeric
x620,5,-2,396,19,0,numeric
x912,5,-2,11,4951,0,numeric
x728,5,-2,9,19,0,numeric
x619,5,-2,9,19,0,numeric
x895,5,-2,4,4951,0,numeric
x321,5,-2,2,19,0,category
x448,5,-2,1,14051,0,category
x440,5,-2,1,13998,0,category
x507,4,-2,305,83,0,numeric
x711,4,-2,19,19,0,numeric
x922,4,-2,9,4951,0,numeric
x1051,4,-2,1,13297,0,category
x817,3,-2,682,19,0,numeric
x495,3,-2,455,83,0,numeric
x883,3,-2,2,4951,0,category
x318,3,-2,2,19,0,category
x450,3,-2,1,14051,0,category
x1052,3,-2,1,13298,0,category
x500,2,-2,455,83,0,numeric
x248,2,-2,67,19,0,numeric
x744,2,-2,11,19,0,numeric
x1132,1,0,8,0,0,category
x776,1,-2,2224,19,0,numeric
x518,1,-2,682,19,0,numeric
x505,1,-2,305,83,0,numeric
x658,1,-2,272,19,0,numeric
x543,1,-2,19,19,0,numeric
x603,1,-2,9,19,0,numeric
x900,1,-2,6,4951,0,numeric
x727,1,-2,4,83,0,numeric
x812,1,-2,4,19,0,numeric
x929,1,-2,3,4951,0,numeric
